train_acc,train_loss,val_acc,val_loss
0.03193684210526316,4.3379726,0.0604,4.057915
0.07844210526315791,3.9618073,0.11599999999999999,3.7522776
0.12844210526315789,3.679057,0.14120000000000002,3.549626
0.1619578947368421,3.4750042,0.18240000000000006,3.357112
0.19170526315789474,3.301503,0.196,3.2383728
0.21642105263157896,3.1544983,0.2156,3.112731
0.2348,3.0512717,0.2248,3.0299892
0.25484210526315787,2.9418528,0.2628,2.8855011
0.2747578947368421,2.8485105,0.254,2.8947735
0.2916210526315789,2.7701516,0.28240000000000004,2.8103924
0.30663157894736837,2.6960883,0.30079999999999996,2.7392993
0.3194105263157894,2.6286983,0.32199999999999995,2.6600757
0.33044210526315787,2.5748117,0.30600000000000005,2.6686103
0.3441263157894737,2.520891,0.3268,2.583479
0.35210526315789475,2.473226,0.3368,2.5493512
0.3590526315789474,2.439758,0.35840000000000005,2.4939108
0.36578947368421055,2.4001043,0.36400000000000005,2.4078624
0.37366315789473686,2.367504,0.3664,2.4187849
0.38216842105263155,2.322633,0.3767999999999999,2.4152448
0.3877894736842105,2.295975,0.3772,2.3767822
0.39806315789473684,2.2593062,0.3827999999999999,2.3315587
0.4026736842105263,2.2388883,0.3808,2.3106003
0.4070105263157895,2.2103152,0.3836,2.311193
0.4147789473684211,2.180796,0.39280000000000004,2.3021352
0.4164421052631579,2.1645346,0.39840000000000003,2.2807755
0.4242736842105263,2.1416209,0.40919999999999995,2.2536237
0.42806315789473687,2.1239355,0.40759999999999996,2.2767847
0.43469473684210524,2.0960531,0.40559999999999996,2.2305264
0.4393894736842105,2.0774288,0.40639999999999993,2.250039
0.4421894736842106,2.0612984,0.43079999999999996,2.17259
0.445621052631579,2.047203,0.41999999999999993,2.201549
0.44715789473684203,2.0305378,0.4204,2.1554372
0.45349473684210523,2.0080006,0.4312,2.1763535
0.46046315789473685,1.9994593,0.434,2.138371
0.4603368421052632,1.9791815,0.44079999999999997,2.1157463
0.4633894736842106,1.9683802,0.44000000000000006,2.0907726
